daytype,horizon,n_days,mean_sd,mean_skew,mean_exkurt,cell
sunday,9,71,1008.323486328125,0.02073463425040245,1.009846806526184,F
weekday,9,357,1089.4521484375,-0.08248471468687057,0.6974976062774658,F
all,9,500,1076.3974609375,-0.06788799911737442,0.7431948184967041,F
saturday,10,72,1139.704833984375,-0.08230136334896088,0.6033132076263428,F
sunday,10,71,1057.725341796875,0.03045276179909706,0.999461829662323,F
weekday,10,357,1147.5206298828125,-0.08318426460027695,0.5863682627677917,F
all,10,500,1133.644287109375,-0.06692066788673401,0.6474676132202148,F
saturday,11,72,1205.5738525390625,-0.07705199718475342,0.5013720989227295,F
sunday,11,71,1117.1864013671875,0.034463148564100266,1.026602029800415,F
weekday,11,357,1213.27783203125,-0.07650759816169739,0.4960571527481079,F
all,11,500,1198.523681640625,-0.06082814186811447,0.5721598267555237,F
saturday,12,72,1249.9151611328125,-0.060638029128313065,0.4265943467617035,F
sunday,12,71,1151.8746337890625,0.017301874235272408,0.9783761501312256,F
weekday,12,357,1255.0552978515625,-0.06420372426509857,0.4451856315135956,F
all,12,500,1239.6634521484375,-0.05211646854877472,0.5182214975357056,F
saturday,13,72,1302.6297607421875,-0.03763716295361519,0.3880157470703125,F
sunday,13,71,1197.1634521484375,0.03496384993195534,0.8837937712669373,F
weekday,13,357,1304.1728515625,-0.05618033558130264,0.40595465898513794,F
all,13,500,1288.7552490234375,-0.04056764394044876,0.4712245762348175,F
saturday,14,72,1351.6593017578125,-0.029248777776956558,0.40305471420288086,F
sunday,14,71,1234.7388916015625,0.038798827677965164,0.7719897627830505,F
weekday,14,357,1349.1004638671875,-0.0469784140586853,0.3681822419166565,F
all,14,500,1333.2296142578125,-0.0322449766099453,0.43054452538490295,F
saturday,15,72,1367.302978515625,-0.03184688091278076,0.36756664514541626,F
sunday,15,71,1248.64208984375,0.03281654417514801,0.6691754460334778,F
weekday,15,357,1364.645263671875,-0.03865286335349083,0.331564337015152,F
all,15,500,1348.5556640625,-0.027524152770638466,0.38468945026397705,F
saturday,16,72,1357.4234619140625,-0.03015611320734024,0.327914834022522,F
sunday,16,71,1238.2657470703125,0.025762971490621567,0.6175174713134766,F
weekday,16,357,1352.656005859375,-0.03964977338910103,0.3113715648651123,F
all,16,500,1337.0989990234375,-0.02899407595396042,0.35722649097442627,F
saturday,17,72,1318.2166748046875,-0.02574879862368107,0.2833712697029114,F
sunday,17,71,1203.1007080078125,0.017457887530326843,0.5827701091766357,F
weekday,17,357,1314.599609375,-0.039625782519578934,0.29248324036598206,F
all,17,500,1299.2877197265625,-0.02952161803841591,0.3323918581008911,F
saturday,18,72,1303.3323974609375,-0.010445945896208286,0.2244253158569336,F
sunday,18,71,1194.5667724609375,0.017496531829237938,0.5691176652908325,F
weekday,18,357,1302.8038330078125,-0.03857035934925079,0.27268728613853455,F
all,18,500,1287.51025390625,-0.026558946818113327,0.30783069133758545,F
saturday,19,72,1306.73046875,0.0007272693910636008,0.19167369604110718,F
sunday,19,71,1205.09765625,0.019525475800037384,0.5616403818130493,F
weekday,19,357,1310.4273681640625,-0.037017203867435455,0.2571791410446167,F
all,19,500,1294.9381103515625,-0.023552939295768738,0.29097989201545715,F
saturday,20,72,1306.496826171875,-0.0018394142389297485,0.1891135424375534,F
sunday,20,71,1210.567138671875,0.029458308592438698,0.5416237115859985,F
weekday,20,357,1313.5372314453125,-0.036452312022447586,0.24369081854820251,F
all,20,500,1297.9017333984375,-0.022108744829893112,0.2781381607055664,F
saturday,21,72,1301.1171875,-0.005104702431708574,0.15973016619682312,F
sunday,21,71,1207.4921875,0.03023410774767399,0.49787187576293945,F
