level,daytype,horizon,n_days,cov_emp,se,cell
0.8,weekday,23,357,0.9523809523809523,0.01127097781740836,C
0.8,all,23,500,0.934,0.01110351295761841,C
0.8,saturday,24,72,0.9305555555555556,0.029958747929501813,C
0.8,sunday,24,71,0.9014084507042254,0.03537948313367657,C
0.8,weekday,24,357,0.9327731092436975,0.013253342257555934,C
0.8,all,24,500,0.928,0.0115599307956406,C
0.9,saturday,1,72,0.8055555555555556,0.04664222611020806,C
0.9,sunday,1,71,0.7183098591549296,0.05338417835400071,C
0.9,weekday,1,357,0.8151260504201681,0.020545472716637602,C
0.9,all,1,500,0.8,0.017888543819998316,C
0.9,saturday,2,72,0.8194444444444444,0.04533137969344014,C
0.9,sunday,2,71,0.8591549295774648,0.041283584119470355,C
0.9,weekday,2,357,0.876750700280112,0.01739787406427662,C
0.9,all,2,500,0.866,0.015234434679370286,C
0.9,saturday,3,72,0.8611111111111112,0.04075652051309955,C
0.9,sunday,3,71,0.9295774647887324,0.030364731614087568,C
0.9,weekday,3,357,0.9103641456582633,0.0151186963814665,C
0.9,all,3,500,0.906,0.013050976974924135,C
0.9,saturday,4,72,0.8888888888888888,0.03703703703703704,C
0.9,sunday,4,71,0.9577464788732394,0.0238741303445037,C
0.9,weekday,4,357,0.9159663865546218,0.01468358763439853,C
0.9,all,4,500,0.918,0.012269963325128561,C
0.9,saturday,5,72,0.8472222222222222,0.042399673805588435,C
0.9,sunday,5,71,0.9295774647887324,0.030364731614087568,C
0.9,weekday,5,357,0.907563025210084,0.0153294703892032,C
0.9,all,5,500,0.902,0.013296315279053816,C
0.9,saturday,6,72,0.7361111111111112,0.05194167979702981,C
0.9,sunday,6,71,0.6901408450704225,0.054880979931595526,C
0.9,weekday,6,357,0.8851540616246498,0.01687458673124291,C
0.9,all,6,500,0.836,0.0165592270351004,C
0.9,saturday,7,72,0.4583333333333333,0.058720605990582514,C
0.9,sunday,7,71,0.5211267605633803,0.059286088431625354,C
0.9,weekday,7,357,0.927170868347339,0.013753028618363888,C
0.9,all,7,500,0.802,0.017821111076473318,C
0.9,saturday,8,72,0.4166666666666667,0.05810139073153302,C
0.9,sunday,8,71,0.36619718309859156,0.057174899223846616,C
0.9,weekday,8,357,0.9467787114845938,0.011880448237326443,C
0.9,all,8,500,0.788,0.018278730809331373,C
0.9,saturday,9,72,0.5555555555555556,0.05856069741052554,C
0.9,sunday,9,71,0.5070422535211268,0.05933319697178108,C
0.9,weekday,9,357,0.9215686274509803,0.01422900855475359,C
0.9,all,9,500,0.81,0.01754422982065613,C
0.9,saturday,10,72,0.7083333333333334,0.05356683548799136,C
0.9,sunday,10,71,0.5774647887323944,0.05862259412843413,C
0.9,weekday,10,357,0.9019607843137255,0.01573836575091292,C
0.9,all,10,500,0.828,0.0168769665520792,C
0.9,saturday,11,72,0.75,0.05103103630798288,C
0.9,sunday,11,71,0.6056338028169014,0.05799969641766592,C
0.9,weekday,11,357,0.876750700280112,0.01739787406427662,C
0.9,all,11,500,0.82,0.017181385275931625,C
0.9,saturday,12,72,0.7777777777777778,0.04899539464934427,C
0.9,sunday,12,71,0.676056338028169,0.0555388667156425,C
0.9,weekday,12,357,0.8907563025210085,0.016509865655961575,C
0.9,all,12,500,0.844,0.01622738426241272,C
0.9,saturday,13,72,0.7638888888888888,0.05005034331120291,C
0.9,sunday,13,71,0.7183098591549296,0.05338417835400071,C
0.9,weekday,13,357,0.9159663865546218,0.01468358763439853,C
0.9,all,13,500,0.866,0.015234434679370286,C
0.9,saturday,14,72,0.8055555555555556,0.04664222611020806,C
0.9,sunday,14,71,0.7746478873239436,0.049585399087381056,C
0.9,weekday,14,357,0.9327731092436975,0.013253342257555934,C
0.9,all,14,500,0.892,0.013880633991284403,C
0.9,saturday,15,72,0.8888888888888888,0.03703703703703704,C
0.9,sunday,15,71,0.8028169014084507,0.04721868874183584,C
0.9,weekday,15,357,0.9439775910364145,0.012171038160689903,C
0.9,all,15,500,0.916,0.012405160216619531,C
0.9,saturday,16,72,0.8888888888888888,0.03703703703703704,C
0.9,sunday,16,71,0.8309859154929577,0.04447634657729004,C
0.9,weekday,16,357,0.9607843137254902,0.01027327121559968,C
0.9,all,16,500,0.932,0.01125841907196565,C
0.9,saturday,17,72,0.9027777777777778,0.03491459057638508,C
0.9,sunday,17,71,0.9014084507042254,0.03537948313367657,C
0.9,weekday,17,357,0.969187675070028,0.009146018337792855,C
0.9,all,17,500,0.95,0.00974679434480897,C
0.9,saturday,18,72,0.9444444444444444,0.026995147661320842,C
0.9,sunday,18,71,0.9154929577464789,0.03300994345777757,C
0.9,weekday,18,357,0.9719887955182073,0.008732978947832332,C
0.9,all,18,500,0.96,0.008763560920082661,C
0.9,saturday,19,72,0.8888888888888888,0.03703703703703704,C
0.9,sunday,19,71,0.9154929577464789,0.03300994345777757,C
0.9,weekday,19,357,0.9719887955182073,0.008732978947832332,C
0.9,all,19,500,0.952,0.009559916317625384,C
